p	h	t
adrica	Cabo  s.f. Marinha  Cabo para içar vergas, velas e bandeiras; driça.
adro	Espaço,	s.m. Espaço, aberto ou fechado, que fica diante do portal de uma igreja.
aduaneiro	Indivíduo	s.m. Indivíduo que trabalha na área administrativa da aduana (alfândega).
aedo	Poeta	s.m. Poeta grego da época primitiva, que cantava ou recitava com acompanhamento da lira: Homero era um aedo.
aerobica	Ginástica	s.f. Ginástica que ativa a respiração e a oxigenação dos tecidos por meio de movimentos rápidos executados em geral com música.
aerobio	(organismo,	s.m. Aquilo (organismo, micro-organismo etc.) que só se consegue desenvolver ou sobreviver na presença de oxigênio.
aerodinamica	Ciência	s.f. Física. Ciência que estuda os fenômenos que acompanham qualquer movimento relacionado com um corpo e o ar que o circunda.
aerolito	Meteorito	s.m. Astronomia. Geologia. Meteorito formado por minerais, geralmente, composto por silicatos.
afta	úlceras	s.f. Pequenas úlceras superficiais que aparecem na mucosa bucal, na cavidade oral, nas gengivas ou embaixo da língua, geralmente de formato oval, cor branca ou amarelada, sendo suas extremidades avermelhadas.
agito	Acontecimento	Acontecimento festivo, normalmente, direcionado aos jovens.
agricultor	Proprietário	P.ext. Proprietário de terras cultiváveis.
aguilhao	Ponta	s.m. Ponta de ferro, fixada na extremidade de um bastão, para picar os bois. Zoologia. Designação comum de ferrão.
aguilhao	Peixe	Peixes. Peixe de mares tropicais também conhecido como espadarte.
aio	indivíduo	Designação do indivíduo trabalha como criado; escudeiro.
ajoujo	Correia,	s.m. Correia, cordão ou corrente com que se jungem animais, dois a dois.
albornoz	Manto	s.m. Manto de lã, comprido e com capuz, usado pelos árabes.
alcoolismo	Ação	s.m. Psicopatologia. Ação de consumir de maneira excessiva, periódica e/ou permanente álcool, ocasionando, por sua vez, certa dependência psíquica e/ou física; etilismo.
alcunha	Designação,	s.f. Designação, geralmente com valor depreciativo, que se utiliza em substituição do nome próprio de uma pessoa ou acrescida a este (normalmente definido a partir de uma característica particular física ou moral); cognome.
alegacao	Citação	s.f. Citação de fatos, argumentos em apoio de alguma declaração.
alento	Ação	s.m. Ação de aspirar e expelir o ar (pelas vias respiratórias); respiração ou fôlego: o professor ficou sem fôlego e alento.
alfaia	Utensílio	s.f. Utensílio de adorno doméstico ou pessoal.
aluviao	Inundação,	s.f. Inundação, enxurrada.
alveo	Sulco.	Sulco.
alvoroco	Agitação,	s.m. Agitação, tumulto, revolta, sedição.
amalgama	Mistura;	s.m. e s.f. Mistura; fusão de coisas ou pessoas distintas que formam um todo: projeto inclusivo, amálgama de múltiplas raças.
amarelinha	Brincadeira	s.f. Brincadeira infantil que, aos saltos com uma só perna, as crianças atravessam as casas riscadas no chão, pulando a casa que está marcada com uma pedra ou com outro objeto.
amargor	Qualidade	s.m. Qualidade do que é amargo.
amargura	Tristeza	s.f. Tristeza ou angústia; aflição: a amargura dos dias difíceis.
amarra	Cabo  s.f. Náutica  Cabo ou corrente que prende o navio à âncora.
amarra	corda	Qualquer corda ou corrente que serve para amarrar.
amazona	Mulher	s.f. Mulher de caráter masculino e guerreiro.
ambar	Substância	s.m. Substância sólida, de cor parda ou preta, cheiro almiscarado, proveniente da concreção intestinal do cachalote, muitas vezes chamada âmbar pardo ou âmbar cinzento.
ambicao	Desejo	s.f. Desejo desmedido pelo poder, dinheiro, bens materiais, glórias etc; cobiça: só conseguiu ser rico porque sempre teve ambição.
ambicao	Obstinação	Obstinação intensa para conseguir determinado propósito; vontade de alcançar sucesso; pretensão: tinha a ambição de um dia ser cantor.
ambiente	meio	S.m. O meio em que se vive; o ar que se respira.
ambiguidade	Qualidade	s.f. Qualidade daquilo que possui ou pode possuir diferentes sentidos, do que é incerto ou indefinido; natureza do que é ambíguo.
ambiguidade	Dualidade	Filosofia. Dualidade profunda de um termo, de uma proposição ou de uma situação.
ambito	Área	Área que circunda ou envolve algo.
ambulancia	Hospital	s.f. Hospital militar móvel.
ambulancia	Carro	Carro de transporte de doentes e feridos.
ameaca	ato,	s.f. Palavra, ato, gesto pelos quais se exprime a vontade que se tem de fazer mal a alguém: discurso cheio de ameaças.
ameaca	Sinal,	Sinal, manifestação que leva a acreditar na possibilidade de ocorrer alguma coisa: ameaça de chuva.
ameba	espécie	P.ext. Uma espécie é parasita do intestino humano de tamanho compreendido entre 30 e 500 mícrons, ramo dos rizópodes, que pode causar enfermidades como: colite, disenteria e cólicas.
ameixa	Fruta	s.f. Fruta que contém semente em forma de caroço.  A ameixa pode ser pequena como uma cereja ou grande como um pêssego miúdo. Pode ser redonda ou oval. A pele fina pode ser verde, amarela, vermelha, azul ou roxa.
ameixeira	Árvore	s.f. Árvore muito cultivada por seu fruto comestível (ameixa). (A ameixeira se dá bem em qualquer lugar, salvo nos solos muito compactos ou muito úmidos; suas flores, que aparecem antes das folhas, são brancas. Família das rosáceas.)
amendoa	Fruto s.f.  Fruto ou semente da amendoeira, comestível, rico em substâncias gordurosas, glicídios.  Cada semente nasce dentro de uma casca fina e lisa que lembra um pouco o caroço do pêssego. Uma segunda casca, seca e coriácea, recobre a primeira. Esta casca abre-se quando a amêndoa está madura.
amendoeira	Árvore	s.f. Árvore originária da Ásia, cultivada por causa de suas sementes, as amêndoas. (Alt.: 10 m; família das rosáceas.)
amendoeira	Árvore	Árvore ornamental.
amenidade	Qualidade	s.f. Qualidade daquilo que é ameno.
amenidade	Sensação	Sensação de bem-estar, deleite, encanto.
ametista	Pedra	s.f. Pedra semipreciosa, de cor violeta, variedade do quartzo.
amido	Substância	s.m. Substância orgânica frequentemente mantida de reserva nos vegetais (grãos de cereais, tubérculos de batatas etc.).
amigo	Indivíduo	s.m. Indivíduo com quem se tem uma relação de amizade, de afeto, de companheirismo: tem muitos amigos.
amizade	Sentimento	s.f. Sentimento afetuoso entre pessoas ou instituições: não existe amizade entre equipes rivais; os pais acreditam na importância da amizade entre os filhos.
amizade	Pessoa	Pessoa que é amiga; companheira: ela era minha melhor amizade.
amnesia	diminuição	s.f. Psicopatologia. Ausência, diminuição ou perda completa da memória.
amnio	bolsa	bolsa membranosa que contém o líquido amniótico onde flutua o bebé (pop)
amo	Indivíduo	P.ext. Indivíduo que exerce a chefia de; responsável por dar ordens; patrão.
amolacao	Ação	s.f. Ação ou efeito de amolar; ato de se amolar; amoladura.
achadego	Recompensa  s.m. Direito  Recompensa dada a quem restitui coisa achada.
acordao	última	s.m. Jurídico. A última sentença ou decisão final que, atribuída por uma instância superior, começa a valer como modelo para resolver casos, questões e/ou situações análogas; aresto.
acusativo	Caso	s.m. Caso das declinações grega, latina etc., que indica a pessoa ou coisa que sofre a ação do verbo (objeto direto).
admoestacao	Conselho;	P.ext. Conselho; aviso dado a alguém que fez alguma coisa errada, para que essa pessoa não cometa novamente o mesmo erro.
adorno	coisa;	s.m. Pronuncia-se: /adôrno/. O que pode ser utilizado para enfeitar, adornar, alguém ou alguma coisa; enfeite, ornato, atavio.
adversidade	Infortúnio	s.f. Infortúnio ou desgraça; falta de sorte: ela superou todas as adversidades do acidente.
aeroespaco	Região	aeroespaço sm (aero+espaço) Astr Região de lançamento e de controle de mísseis, foguetes e satélites espaciais.
afluente	Rio	s.m. Rio ou riacho que deságua em outro maior; corrente de água que se alimenta de outra maior: o Tocantins é um afluente do Amazonas.
aforismo	Texto	Texto breve que traz consigo um fundamento que, numa sentença filosófica, pode denotar um pensamento de teor prático ou moral.
aga	Nome	s.m. Nome de dignitários orientais muçulmanos.
agonia	angústia,	Ânsia, angústia, aflição.
agronomia	Reunião	s.f. Agricultura. Reunião dos conhecimentos, técnicas e dos procedimentos práticos que conduzem o exercício da agricultura.
aguaceiro	Chuva	s.m. Chuva súbita e abundante; bátega.
aia	dama	s.f. Designação utilizada para dama de companhia.
aia	Mulher	Mulher cujas responsabilidades estão relacionadas com a educação e criação de crianças que pertencem a famílias ricas ou nobres; preceptora.
ajuda	Auxílio,	s.f. Auxílio, socorro, assistência, favor: dar ajuda a alguém.
ajuda	suplemento	Ajuda de custo, suplemento pago por determinados serviços, para determinadas despesas.
albugem	Manchas	sf (lat albugine) Med 1 Manchas brancas nas unhas. 2 Mancha esbranquiçada na córnea transparente, geralmente denominada belida. 3 Espécie de alforra, causada por cogumelos do gênero Albugo e caracterizada por uma massa pulvérea, branca, de conídios, proveniente da ruptura de soros maduros produzidos sob a epiderme da planta hospedeira. Sin: albugo.
alcada	Área	s.f. Figurado. Área de atuação; alcance: vive afirmando coisas que não são da sua alçada.
alcada	competência	Jurídico. Limite de competência que, exercido por um juiz e/ou um tribunal, determina a resolução de um caso sem que haja interferência de órgãos ou organismos externos.
alcada	Capacidade,	Jurídico. Capacidade, conhecimento, jurisdição e autoridade atribuídas aos responsáveis por uma repartição pública, numa administração comum ou na solução de problemas extraordinários.
alcoice	bordel.	s.m. Prostíbulo, bordel.
aleia	Caminho	s.f. Caminho ladeado de árvores: as aléias do parque.
aleluia	Cântico	s.f. Religião. Cântico ou canção de alegria, cantado originalmente no tempo pascoal e que passou a ser incorporado na liturgia cristã.
aleluia	Exclamação	interj. Exclamação que denota alegria.
aleluia	Palavra	Liturgia. Palavra que inicia um versículo recitado durante a missa, no momento que antecede o evangélio.
alfarrabio	Livro	s.m. Livro antigo e de leitura cansativa.
algazarra	alvoroço;	s.f. Alarido, matinada, alvoroço; tumulto: crianças que fazem tremenda algazarra.
algazarra	Vozearia	Vozearia confusa.
aliado	cúmplice,	Apaniguado, sequaz, cúmplice, comparsa.  Nome pelo qual, diversas vezes na História, foram designados países e exércitos que lutaram por uma causa comum: os ingleses, russos, prussianos e austríacos, que invadiram a França em 1814 e 1815 e restabeleceram os Bourbons; os países que na Primeira Guerra Mundial lutaram contra a Alemanha, a Áustria-Hungria, a Bulgária e a Turquia; os países que lutaram contra o Eixo (Alemanha, Itália e Japão) durante a Segunda Guerra Mundial.
alicate	alavancas	s.m. Nome genérico com que se designa uma espécie de torquês ou tenaz, composta de duas alavancas que giram em torno de um eixo.
alicerce	estrutura	s.m. Maciço de alvenaria sobre o qual se assenta a estrutura de uma construção, construído em cimento ou pedra; estrutura que sustenta uma construção: o primeiro passo é construir o alicerce.
alicerce	base,	Figurado. Aquilo que fundamenta e sustenta; base, apoio, sustentáculo: o bom êxito se fundamenta nos alicerces do trabalho.
alimento	Recursos  S.m.pl. Direito  Recursos necessários ao sustento, habitação, vestuário, educação de uma pessoa, a que se obrigam parentes de certo grau: os alimentos são fixados em função das necessidades daquele que os reclama e dos meios daquele que os dá.
alinea	Linha	s.f. Linha de um texto, cuja primeira palavra abre parágrafo.
alma	espiritual	s.f. Princípio espiritual do homem, por oposição ao corpo.
alma	Habitante:	Fig. Habitante: cidade de 20.000 almas.
alma	vida:	Expressão, animação, vida: cantar com alma.
alma	fantasma.	Alma do outro mundo, fantasma.
almoco	refeição.	Alimentos que se servem nessa refeição.
almofadinha	rapaz	s.m. Janota; rapaz que exagera no apuro para se vestir; aquele que se preocupa muito com a própria aparência.
almofadinha	Almofada	s.f. Almofada pequena ou àquela usada para prender alfinetes e agulhas.
almofadinha	saco	Sachê; saco pequeno cujo interior está repleto de plantas aromáticas para perfumar roupas.
almofadinha	Pano	Pano enrolado que, colocado sobre a cabeça dos carregadores, os protege e sustenta a carga levada por eles.
alopecia	Queda	s.f. Medicina  Queda prematura, e em geral temporária, dos cabelos e, às vezes, dos pêlos; falacrose, calvície.
alquimia	Química	sf (ár al-kîmiyâ, do gr khymeía, mistura de líquidos) 1 Química da Idade Média. 2 Arte que procurava descobrir a pedra filosofal, com que transformariam em ouro outras substâncias, e a panacéia universal.
altissimo	alto:	adj (lat altissimu) Sup abs sint de alto: muito alto. sm A divindade, Deus.
alvor	luz	s.m. Claridade fraca ou efêmera; primeira luz do amanhecer; alva.
alvor	Peixe	Peixe de água doce, parecido com a tainha.
alvorada	madrugada.	s.f. Crepúsculo matutino; antemanhã, madrugada.
alvorada	dia.	Canto das aves, ao nascer do dia.
alvorada	amanhecer.	Toque de cornetas, clarins e tambores, dado nos quartéis, ao amanhecer.
amianto	silicato	s.m. Mineralogia. Nome usado comercialmente para o silicato natural hidratado de cálcio e magnésio, de estrutura fibrosa, imune ao calor, dificilmente fusível e cujas propriedades são utilizadas na confecção de tecidos e de outros materiais que não entram em combustão.
amoniaco	Gás	s.m. Gás de odor muito picante e sabor cáustico, formado pela combinação de nitrogênio e de hidrogênio (NH3): o amoníaco é utilizado como agente refrigerante, bem como para a produção de explosivos e de adubos.
amontoado	Conjunto	s.m. Conjunto de coisas em montão; acúmulo.
amontoado	Série	Fig. Série de expressões inúteis ou inconvenientes: um amontoado de asneiras.
amontoado	Aglomeração:	Aglomeração: um amontoado de curiosos.
amor	Afeição	s.m. Afeição viva por alguém ou por alguma coisa: o amor a Deus, ao próximo, à pátria, à liberdade.
amor	Sentimento	Sentimento apaixonado por outra pessoa: as mulheres inspiram amor.
amor	filial.	Inclinação ditada pelas leis da natureza: amor materno, filial.
amor	Sentimento	Sentimento de adoração de um grupo de pessoas ou de alguém em específico por um ideal real ou abstrato: amor à pátria.
amor	Zelo	Zelo e dedicação: trabalhar com amor.
amor	Sentimento	Religião. Sentimento de devoção direcionado a uma pessoa ou ente abstrato; devoção, adoração.
amora	Fruto	s.f.  Fruto da amoeira.
amoreira	árvores	s.f. Gênero de moráceas que compreende as árvores que produzem amoras e cuja folha serve de alimento ao bicho-da-seda.  Os frutos apresentam uma grande quantidade de sementes minúsculas. As folhas, ovais ou em forma de, coração, são dentadas e frequentemente divididas em lobos. As amoreiras produzem um suco leitoso.
amortizacao	Diminuição	s.f. Diminuição de uma dívida através do parcelamento de seu pagamento; as parcelas desse pagamento: amortização da dívida externa.
amortizacao	Ação	Ação ou efeito de amortizar.
amostra	Porção	s.f. Porção menor de um produto através da qual se percebe a sua qualidade: amostra grátis de perfume.
amostra	parte	A parte menor de alguma coisa que define a sua totalidade: uma amostra de suas obras está no museu.
amostra	Grupo	Sociologia. Grupo de indivíduos que, tendo em conta as suas qualidades ou particularidades, representa um segmento social a ser analisado.
amostra	Parte	Estatística. Parte que, separada, pode representar um conjunto do âmbito estatístico.
amostra	Padrão;	Padrão; o que é utilizado como exemplo ou modelo: sempre foi uma amostra de caridade.
amparo	proteção,	s.m. Ação de amparar; esteio, proteção, arrimo, auxílio.
amparo	abrigo.	Refúgio, abrigo.
amplexo	ação	s.m. Abraço; ação de apertar por entre os braços; demonstração de carinho e afeto.
amplexo	Ação	Ação de abraçar.
ampliacao	efeito	s.f. Ato ou efeito de ampliar.
ampliacao	Reprodução	Fotografia. Reprodução em tamanho maior.
amplidao	Qualidade	s.f. Qualidade daquilo que é extenso, do que é amplo, do que tem grandes dimensões: a amplidão dos oceanos.
amplidao	extensão	Grandeza; cuja extensão é vasta, abundante: a amplidão da sua sabedoria é louvável.
amplidao	espaço	Céu; o espaço não definido nem limitado: o sol nascia na amplidão.
amplitude	Extensão	s.f. Extensão considerável: a amplitude da catástrofe.
amplitude	Distância	Geom. Distância angular.
amplitude	Distância	Física e Matemática Distância entre as posições extremas de um objeto ou de um fenômeno.
amplitude	Curva	Astronomia. Curva descrita por um astro, desde o ponto de seu aparecimento até o de seu desaparecimento.
amplitude	alcance	Balística. Amplitude de tiro, alcance de tiro.
amplitude	distância	Amplitude térmica, distância entre as temperaturas extremas medidas durante períodos variáveis da mesma estação.
ampola	Tubo	s.f. Tubo de vidro terminado em ponta, que se solda na lâmpada após a introdução de um líquido.
ampola	Envoltório	Envoltório de vidro que encerra o filamento de uma lâmpada elétrica. (Var.: empola.)
ampulheta	Aparelho	s.f. Aparelho composto de dois compartimentos cônicos de vidro que se comunicam pelo vértice e estão situados num plano vertical, e no qual certa quantidade de areia fina, escoando de um compartimento para o outro, mede uma fração de tempo.
amputacao	Processo	s.f. Processo pelo qual se separa do organismo, parcial ou totalmente, mediante cirurgia, um membro ou outra parte do corpo.  A amputação pode-se tornar necessária em consequência de ferimento grave, infecção, tumor, ou outras doenças.
amuleto	Objeto	s.m. Objeto que alguém leva consigo por superstição, para se preservar de perigos, doenças etc.
amuo	humor;	Expressão facial que demonstra mau humor; gestos ou silêncios que denotam enfado; arrufo.
amuo	Mágoa	Mágoa passageira.
amurada	Parte	s.f. Náutica  Parte do costado do navio que fica acima do convés; bordo da embarcação.
anabolizante	Substância	adj. Substância que contribui para um aumento significativo da massa muscular; substância que provoca o anabolismo.
anabolizante	substância:	adj. Diz-se dessa substância: a atleta foi expulsa pelo uso de anabolizantes.
anacoreta	Religioso	s.m. Religioso que vive na solidão.
anacoreta	Pessoa	Fig. Pessoa que leva vida solitária, retirada do convívio social.
anagrama	Palavra	s.m. Palavra formada pela transposição das letras de outras palavras: Roma: Amor.
anagua	Saia	s.f. Saia que se veste debaixo de um vestido.
anais	Obra	s.m.pl. Obra que relata os acontecimentos de cada ano.
analfabetismo	condição	s.m. Estado ou condição da pessoa analfabeta, de quem não tem instrução formal nem sabe ler e escrever.
analfabetismo	Ignorância	P.ext. Ignorância completa; falta de instrução.
analfabetismo	Estado	Analfabetismo Funcional. Estado da pessoa que, embora saiba ler e escrever, não possui os conhecimentos necessários de leitura e/ou de cálculos para ter uma vida socialmente funcional.
analise	Exame	s.f. Exame detalhado de cada seção que compõe um todo, buscando compreender tudo aquilo que o caracteriza: análise da metodologia do projeto.
analise	Comentário	Comentário avaliativo ou crítico que busca entender ou descrever alguma coisa: análise de um filme, de uma obra de arte.
analise	Crítica	Literatura. Crítica feita sobre um texto, um livro, uma obra literária etc.
analise	pensamento	Filosofia. Método de pensamento que se baseia na divisão de um problema em partes simplificadas para melhor compreendê-lo.
analise	Metodologia	s.f. Psicanálise. Freud. Teoria da alma ou da psique. Metodologia terapêutica que, elaborada por Freud, examina o teor inconsciente das palavras, atos e/ou concepções imaginativas de um ser, baseando-se nas relações livres e na transferência.
analise	Ação	Ação ou efeito de analisar ou analisar-se: análise de um projeto.
analogia	semelhança	s.f. Relação de correspondência ou de semelhança entre coisas e/ou pessoas distintas: analogia entre o diamante e o grafite; analogia entre o jornalista e o escritor.
analogia	Comparação;	Comparação; em que há ou pode ser feita uma comparação: analogia entre obras.
analogia	Ação	Linguística. Ação processual de mudança linguística que altera uma forma para fazer com que a mesma se enquadre num modelo já existente.
analogia	ligação	Filosofia. Kant. Analogias da experiência. Refere-se aos princípios que direcionam a ligação entre os fenômenos.
ananas	Fruta	s.m. Fruta de planta da família das bromeliáceas, semelhante ao abacaxi, de polpa, quando madura, mais amarelada e deliciosa.
anao	tamanho	adj. e s.m. Ser humano, uma planta ou um animal adulto muito menor que o de tamanho normal.
anao	Pigmeu.	Pigmeu.
anarquia	Sistema	s.f. Sistema político que tem como princípio básico a oposição ao conceito de autoridade.
anarquia	governo.	Condição de um povo que deixou de possuir governo.
anarquia	organização,	Que se caracteriza pela ausência de organização, controle ou liderança; confusão: a anarquia tomou conta da aula; a anarquia causou sua demissão; esta escola é uma anarquia.
anarquia	Teoria	Política. Teoria de teor político e social de acordo com a qual o sujeito deveria progredir de maneira livre, ou seja, sem a proteção governamental.
anarquismo	Teoria	s.m. Política. Teoria política que afirma ser a sociedade uma instituição independente do poder do Estado; teoria social e política que não aceita a submissão da sociedade aos poderes governamentais e/ou à autoridade do Estado; anarquia.
anarquismo	movimento	P.ext. Ação ou movimento que se opõe ao governo do Estado.
anarquismo	normas	P.ext. Tudo aquilo que possa ser contrário às normas e aos costumes pré-estabelecidos.
anatema	Pena	s.m. Pena ou tipo de maldição que se efetiva com a expulsão de uma pessoa do convívio religioso ou da própria igreja; excomunhão.
anatema	condenação.	P.ext. Repreensão feita de maneira enérgica e severa; condenação.
anatema	Pessoa	s.m. e s.f. Pessoa que foi excomungada; quem foi expulso do convívio religioso ou da própria igreja.
anatema	Pessoa	P.ext. Pessoa que foi privada do convívio em sociedade; maldito.
anatomia	Estudo	s.f. Estudo da estrutura dos seres orgânicos através da dissecação, tendo em vista a forma e a disposição dos órgãos.
anatomia	Conformação	Conformação do corpo: uma bela anatomia.
anca	Região	s.f. Anatomia. Região correspondente à junção dos membros inferiores com o tronco; articulação do fêmur com o osso ilíaco; articulação coxofemoral.
anca	Parte	Parte do corpo dos quadrúpedes em que se inserem as patas posteriores: as ancas do cavalo; garupa.
anca	Parte	Entomologia. Parte do tórax dos insetos a que se ligam as patas.
anciao	idade	s.m. Aquele que possui uma idade avançada; quem merece respeito.
anciao	idade	adj. Que já tem uma idade avançada; que deve ser respeitado.
ancinho	Instrumento	s.m. Instrumento agrícola constituído por uma barra ou travessa com dentes ou pontas, presa a um cabo longo, e que se destina a juntar palha, folhas secas, a gradar canteiros etc.
ancora	Peça	s.f. Marinha. Peça de ferro presa a uma corrente, composta por duas ou mais pontas que, quando jogada ao mar, serve para fixar e impedir a movimentação das embarcações, navios etc; ferro.
ancora	Utensílio	Aeronáutica. Utensílio composto por várias pontas, utilizado pelo aeronauta, para que este se agarre ao solo e detenha o aeróstato.
ancora	apoio;	Figurado. Algo ou alguém que concede apoio; que ajuda: minha mãe é a âncora da minha casa.
ancora	Peça	Peça de relógio que regula o movimento do pêndulo.
ancora	Pessoa	s.f e s.m. Jornalismo. Pessoa que trabalha como jornalista televisivo, sendo responsável por toda a programação, bem como desenvolvimento dos conteúdos a serem exibidos nos noticiários etc.
ancoradouro	Lugar	s.m. Lugar apropriado para ancorar o navio, ou, p. ext., qualquer embarcação.
ancoragem	Ação	s.f. Marinha  Ação de ancorar um navio.
andaco	epidemia;	s.m. Pequena epidemia; doença que grassa numa localidade.
andaime	Estrado	s.m. Estrado provisório de madeira (ou armações metálicas) sobre o qual pedreiros, carpinteiros, pintores e outros operários se colocam para trabalhar em obras altas; bailéu.
andor	Padiola	s.m. Padiola portátil e ornamentada na qual se transportam ao ombro as imagens nas procissões.
andor	Liteira,	Liteira, andas.
andrajo	pano	s.m. Pedaço de pano velho, rasgado ou usado em excesso; farrapo.
andrajo	Roupa	Roupa muito usada, velha, suja ou rasgada.
andrajo	Roupas	s.m.pl. Andrajos. Roupas usadas.
androfobia	Horror	s.f. Medicina  Horror ao sexo masculino.
androide	máquina	s.m. Aparelho ou máquina que se assemelha à figura humana, sendo seus movimentos idênticos aos dos humanos.
androide	Fantoche;	Figurado. Fantoche; pessoa que se deixa manipular por outra.
androide	robô	adj. Que se assemelha ao homem: robô androide.
andromeda	Constelação	s.f. Constelação do hemisfério boreal.
andromeda	Arbusto	Arbusto da família das ericáceas.
anedota	narrativa)	s.f. Pormenor curioso e pouco divulgado que ocorre em segundo plano (numa narrativa) sobre uma certa personagem ou evento histórico.
anedota	piada.	Narrativa curta, divertida, picante - piada.
anel	círculo	Pequeno círculo de ouro, prata etc., com pedra preciosa ou outro ornamento, usado como enfeite nos dedos das mãos: anel de doutor; anel episcopal.
anel	círculo	Geometria. Anel esférico, sólido gerado pela rotação de um segmento de círculo em torno de um diâmetro que não o atravessa.
anel	círculos	Astronomia. Anéis de Saturno, círculos luminosos concêntricos, situados no plano equatorial de Saturno e construídos por partículas sólidas de dimensões variadas que se deslocam cada uma com velocidade própria.
anel	espiral	Anel de cabelo, caracol ou espiral de cabelo encrespado.
anelo	Desejo	s.m. Desejo que se apresenta de modo excessivo, intenso e forte; aspiração.
anemia	Redução	s.f. Redução anormal do teor de hemoglobina ou do volume dos glóbulos vermelhos presentes no sangue.
anestesia	Privação	s.f. Privação mais ou menos completa da sensibilidade geral, ou da sensibilidade de um órgão em particular, produzida por uma doença ou por um agente anestésico.
anestesia	Abolição	Cirur. Abolição da sensibilidade pela aplicação de anestésicos.
aneurisma	Tumor	s.m. Tumor causado pela dilatação de uma artéria: a ruptura de um aneurisma da aorta causou a morte.
anexacao	Ato	(cs) sf (anexar+ção) Ato ou efeito de anexar. Antôn: desmembramento.
anexim	Dito	s.m. Dito conceituoso, rifão, adágio.
anfibologia	Ambiguidade,	s.f. Ambiguidade, duplo sentido de uma frase. (Ex.: Trago bombons para meus filhos, que estão no bolso do paletó.)
anfiteatro	edifício	s.m. Vasto edifício de forma circular ou oval, com arquibancadas, destinado a festas públicas, entre os romanos.
anfiteatro	Sala	Sala de aula ou de espetáculos cujos assentos estão dispostos em forma de arquibancada.
anfiteatro	Bancadas	Bancadas de uma sala de espetáculos, dispostas em forma de escadaria.
anfiteatro	erosão,	Geologia  Anfiteatro de erosão, terreno de forma semicircular, cavado pela erosão na encosta de uma montanha, também chamado circo de erosão.
anfitriao	Pessoa	s.m. Pessoa que demonstra interesse em pagar ou paga os gastos de um jantar, banquete, festa etc.
anfitriao	Indivíduo	Indivíduo que recebe pessoas ou as convida para vários eventos em sua própria casa.
anfitriao	Pessoa	Pessoa que recebe algum tipo de homenagem.
anfora	Vaso	s.f. Vaso antigo com duas asas, que servia para a conservação e o transporte dos líquidos e das sementes.
anfora	Valva	Botânica. Valva de certos frutos.
angiologia	anatomia	s.f. Parte da anatomia que trata dos órgãos da circulação.
anglicismo	Palavra	s.m. Palavra ou locução própria da língua inglesa, introduzida em outra língua; inglesismo: "meeting" é um anglicismo.
angra	baía;	s.f. Pequena baía; enseada.
angu	massa	s.m. Prato muito popular na cozinha brasileira.  Trata-se de uma massa consistente feita com fubá de milho, água e sal, escaldada e que pode ser comida ao natural ou frita. em fatias.
angulo	Canto,	s.m. Canto, esquina.
angulo	Figura	Matemática  Figura formada por duas semi-retas, ou lados, ou por dois semiplanos, ou faces, que se cortam.
angustia	Ansiedade	s.f. Ansiedade física acompanhada de opressão dolorosa: os estremecimentos da angústia.
angustia	Inquietude	Inquietude profunda que oprime o coração: uma angústia mortal.
anil	azul,	s.m. Substância que tinge de azul, extraída das folhas da anileira e de outras leguminosas; índigo.
anil	cor	A cor azul.
anilho	Argola	s.m. Argola para enfiar cabos ou guarnecer ilhós.
anilho	Anel	Anel de ferro com que se prendem os dois dedos polegares aos criminosos que se levam presos.
anilho	Parte	Parte da coleira com que se enlaça o pescoço do animal e que é fechada por um botão.
animacao	Ação	s.f. Ação de animar.
animacao	Alegria,	Alegria, entusiasmo.
animal	Ser	s.m. Ser organizado, dotado de movimento e de sensibilidade.
animal	Reino	Reino animal, o conjunto de todos os animais.
animismo	Ideologia	s.m. Filosofia. Ideologia ou crença de acordo com a qual todas as formas identificáveis da natureza (animais, pessoas, plantas, fenômenos naturais etc) possuem alma.
animo	Condição	s.m. Condição do espírito; alma ou espírito.
animo	determinação	Excesso de determinação diante de uma circunstância perigosa; coragem.
animo	temperamento;	Que diz respeito ao temperamento; inerente à índole; gênio: ânimo pacífico.
animo	vontade	Ação de manifestar sua própria vontade e/ou desejo; intento.
animo	força;	interj. Em que há força; que expressa excesso de coragem; força: é preciso ânimo para superar as dificuldades.
animosidade	Ressentimento;	s.f. Ressentimento; falta de disposição permanente; desejo de prejudicar algo ou alguém; má vontade.
animosidade	determinação	Coragem; determinação diante de situações complicadas.
animosidade	entusiasmo	Polêmica; entusiasmo demonstrado durante uma discussão ou refutação.
anistia	Perdão	s.f. Perdão dado de maneira generalizada e em relação ao todo ou em sentido mais amplo: anistia de dívidas para aqueles que não pagaram seus impostos.
anistia	Absolvição	Jurídico. Absolvição que, dada através ato público, concede o perdão por crimes políticos.
anjo	Ser	s.m. Ser puramente espiritual que, segundo a religião católica, foi criado por Deus para ser seu mensageiro e manifestar aos homens a sua vontade.
anjo	Pessoa	Fig. Pessoa dotada de uma qualidade eminente:
ano	Tempo	s.m. Tempo que a Terra leva para completar uma volta em torno do Sol.
ano	Medida	Medida da idade: jovem de 20 anos.
ano	Tempo,	S.m.pl. Tempo, velhice: o estrago dos anos.
anomalia	Particularidade	s.f. Particularidade ou condição do que é anômalo, fora do comum.
anomalia	Caraterística	Caraterística do que desigual ou falta de regularidade de um corpo, um produto, uma matéria, um fenômemo natural, uma coisa qualquer etc: anomalia de caráter genético.
